-82.57800044142137 -70.51300044142135 -30.000000441421356
-4.754310385778763e-05+8.798203119339406e-05j -9.891711994760661e-13+2.1616714594137553e-12j 4.806083345386519e-13-3.101913084861041e-13j
-4.7107654243627354e-05+6.459344021669683e-05j -1.2815760997114818e-12+6.770713967036286e-13j 4.898524190943079e-13-4.3829743796464987e-13j
-3.894104515780977e-05+2.9648318251306854e-05j -1.5739810429766727e-12-8.075288844776453e-13j 4.990964828585464e-13-5.664035531826474e-13j
-2.9437230570920893e-05+1.7650218343554454e-05j -1.453824357995122e-12-1.6501161569220203e-12j 4.1944705917021596e-13+2.5499525081563806e-13j
-2.3382089597017828e-05+3.204297594685768e-05j -1.6590282230010615e-12-3.65644979347716e-13j 4.789508151007531e-13+2.217721848123707e-13j
-2.2885882579180155e-05+4.4398609148573106e-05j -1.864232064180663e-12+9.188260068714032e-13j 5.384545463470494e-13+1.8854911786126853e-13j
-2.095697347211271e-05+3.636295247345972e-05j -8.991450208587455e-13+3.849286263530421e-12j -7.801012397373597e-14-2.717543649887823e-13j
-4.546752818260099e-06+1.3674726204130137e-05j 3.496445872301937e-14+2.7541697764338017e-12j -1.427903906997204e-13-3.450546426387709e-13j
1.1942580750312745e-05-9.233560641729889e-06j 9.69073800661582e-13+1.6590534509969373e-12j -2.0757064766607167e-13-4.1835491013256025e-13j
3.216493109313598e-05-3.469718063319271e-05j 9.19862390416953e-13-4.0883205271343736e-12j -1.0575008646111198e-13-7.841088169116557e-15j
2.65043770526514e-05-3.68487905547516e-05j 5.638039835323844e-13-3.36588784853453e-12j -6.913907688268207e-14+7.241627580002958e-14j
2.3293289123480584e-05-3.3954669217152926e-05j 2.0774562343002563e-13-2.6434552878123417e-12j -3.252806567351262e-14+1.5267364241596515e-13j
2.2531667305623338e-05-2.6014816620396805e-05j -1.483126898901215e-13-1.9210228449678333e-12j 4.0829471663959575e-15+2.329310116786892e-13j
-1.6900021070247813e-06-1.4632646361572378e-06j -6.322790941864156e-14-5.709995630595041e-14j 2.327045128191229e-13-4.673118328007736e-14j
-5.52281337579724e-06+3.888290826179503e-06j -7.399211212283663e-14-4.510843142346891e-13j 1.3771744649909832e-13+2.914040151545056e-14j
9.080402823866936e-07+1.2813866586061137e-06j 1.2055069300745207e-13-3.16003054440925e-13j -2.0013153649501686e-13-2.9114106075154154e-14j
9.609545135275781e-08-6.643507962647992e-07j 2.514494842321852e-14-5.290184744662771e-14j 1.3890189536562888e-14-3.8388141996285066e-14j
-1.5616846257582432e-14+5.945264562362821e-14j -9.841972431984232e-22+2.0706287219502743e-21j 2.034605567486154e-15-4.938804070822408e-15j
3.857074690514547e-14+3.008673044261009e-14j -3.263521506888396e-22+5.6137112355335965e-22j -3.5748337268091036e-14+3.720187994178781e-15j
1.6977341686136706e-06-1.5361447451778689e-06j 3.421673591309838e-13-1.7550710060123595e-13j 5.726508410945703e-13-2.4332816452047e-13j
-2.485837574977964e-07+4.507240504967524e-06j -3.528904347897206e-14+2.1983354405960845e-13j -4.1294183897777195e-13+4.0107496963330497e-14j
-2.169219759482796e-05+2.3413004741866904e-05j -2.16846451708289e-12-2.5995449722339656e-13j 1.7005048271209105e-13+1.434980996598114e-13j
-6.3617460646108e-06+3.444476237138378e-05j -1.6732317620258635e-12-6.573739616445603e-13j -2.77402972857674e-13+7.863323733544785e-15j
-8.75379699374795e-05+8.491199297289911e-06j 1.3272099411435667e-12+3.564995168034807e-12j -1.353997439489586e-13+4.728465683955727e-13j
-8.553160500532163e-05-9.684702350890115e-06j 6.313911185775996e-06+2.816102576340547e-06j -6.365194013111879e-06-2.838972752628766e-06j
-6.161318354614299e-05-3.387880908457784e-05j 1.5636718266757763e-06+6.974234652390655e-07j -1.5763703140798836e-06-7.030850592361284e-07j
-2.1060232739541562e-05-7.107447808624602e-05j -3.5766578597336203e-12+8.625871594305406e-13j -1.2434785830994935e-12-1.3182849704881512e-12j
5.517429704029823e-06-5.620745073061726e-05j 3.666315497782864e-07-5.464350149673108e-07j 3.6961411877673074e-07-5.508740203815759e-07j
2.8067629954162206e-05-5.172610599634347e-05j 2.248330234673913e-06-3.3509267454419626e-06j 2.2665968476387934e-06-3.378145067793097e-06j
7.974675956882948e-05-5.547388778963109e-05j -5.1412695813223245e-12-5.705066695541607e-12j 7.218318319346382e-13-2.9683535034053135e-13j
6.4270565412348e-05-6.181396721621803e-05j -2.954390199492673e-12-3.08284802076153e-13j 2.7850652253450115e-13-5.925710340125156e-13j
4.075896955073003e-05-3.755154100500133e-05j -1.3798671755504134e-06+2.328111929981338e-06j -1.3910718301607688e-06+2.347023963424016e-06j
1.0073205804952842e-05+2.8051747764672156e-05j 6.03234541497054e-12+2.1552229040612547e-12j 5.099662065701946e-13+1.453493610579855e-13j
-2.909761958559943e-05+2.8995492795814978e-05j 2.508916157072378e-12+3.032650513046951e-12j 7.793006776600138e-13+1.2725964692538865e-13j
-2.8586787963843954e-05+3.595971656420889e-05j -2.2834888878565585e-06+1.885830407754103e-06j 2.302037298235358e-06-1.9011500769997537e-06j
-1.4909658084828997e-05+2.705855347903998e-05j 5.826860433673633e-13-4.529304926167896e-12j -2.5222476491975536e-13-3.060152507899854e-13j
5.414709405765267e-06+2.7048853657422307e-05j -1.2357271578788515e-12-1.9018797138223817e-12j -9.898572052542799e-14-1.0830487722004072e-13j
3.392913523501826e-05+2.945691474440051e-05j 1.8337050760430065e-06+4.498701925872173e-07j -1.8486000300883327e-06-4.5352454368106173e-07j
3.430269798072004e-05+4.125941771923058e-05j 2.990221475758237e-07+7.336117750759106e-08j -3.014510420136252e-07-7.395620507585027e-08j
2.9280267311795248e-05+4.298616146900824e-05j 4.935581950416992e-13+1.470168683942008e-12j 1.3288610557195467e-13+4.850897614687191e-13j
-1.0770327132201583e-05+5.591732988342344e-05j -4.7062982207660536e-07-1.545166619289175e-06j 4.7445577062219206e-07+1.557720181093826e-06j
-3.3218079715992155e-05+5.1612686278071135e-05j -1.3714590286948572e-07-4.5028026405187016e-07j 1.3826268431441335e-07+4.5394003459106204e-07j
-5.653840315063917e-05+3.255477921508823e-05j 1.2160137040248616e-12+1.589366181867584e-12j -6.611634378394419e-13+4.679825586967491e-13j
-2.608972145352794e-05+5.030468857297184e-07j -4.1651530552874434e-13-3.376763197771781e-13j 3.0868492885112344e-13-4.628204684187417e-14j
-2.6010401053813494e-05-1.9843794352432434e-06j -4.2727958621667213e-13-7.316607396396071e-13j 3.408202572484852e-13-2.095843999877631e-13j
-3.9917886832325565e-06-4.878433675147331e-06j -8.778458319170582e-14-1.3773097068584963e-13j 3.532739861790055e-13+1.9985175753564017e-13j
1.74054148594221e-06-3.96520382496469e-06j 2.9607414136158246e-13+7.02054198891648e-14j -1.9015174276074172e-13-3.3936045157227707e-15j
-3.920105755550528e-14+7.15243926060993e-14j -9.841972431984232e-22+2.0706287219502743e-21j 1.5156514408536515e-15-1.7551677812585688e-14j
6.187626905320895e-14+3.586573646633869e-14j -3.263521506888396e-22+5.6137112355335965e-22j -5.631081699934608e-14+5.707001343312596e-15j
1.5110846902331073e-05-8.947247938348327e-06j 1.2820489806805576e-13-2.0293302349739487e-13j -1.227117078117739e-13-9.685875000197222e-14j
-1.1579025284383071e-05+5.992190661518101e-06j -2.4925150454189903e-13+1.9240762116344936e-13j -1.1083043878841163e-12+1.865769114818284e-13j
-8.863012539044383e-05+3.5414455927070325e-05j -6.267079071518533e-13+5.877482658242931e-13j -2.0938970679564587e-12+4.700125729656287e-13j
-0.00025341835026436216-9.780093969482664e-05j -7.644780473998418e-13+6.11941313411602e-12j -5.997505737320178e-13-1.3449179345367891e-12j
-0.0002625576468859307-0.00018810313775084506j 3.0424907994655664e-13+1.0298236850269055e-12j 2.8108888292423166e-13-7.766866922203535e-13j
-0.00022668834374510506-0.0002493702007835133j 1.3729762072929539e-12-4.059765764062205e-12j 1.1619283395804803e-12-2.0845544990391816e-13j
-4.186139550527697e-05-0.00025901246771711594j -7.291558454715792e-12-7.23330694224101e-13j 1.4967684393230933e-12-1.361815041012408e-12j
0.00010158093251390136-0.00023923385580515257j 6.150149324476101e-14-2.3377713929025105e-12j 8.79219059699748e-13-1.1314241432098703e-12j
0.00021346810414700382-0.00020768287224167575j 7.414561441205333e-12-3.952212091580922e-12j 2.616696800764015e-13-9.010332454073331e-13j
0.0003216064827170286-0.000126323021784413j -2.8704334021458328e-12-9.905727263898746e-12j 7.196779103350975e-13+3.7091033776122633e-13j
0.0002953536614448309-6.032059750084889e-05j -6.835540203161857e-13-4.5089453704333025e-12j 2.763526009349615e-13+7.517465408924277e-14j
0.00024644808260320186-9.429489004592541e-06j 1.5033253615134647e-12+8.878365230321529e-13j -1.6697270846517569e-13-2.2056102958274128e-13j
0.00014613381174989094+0.00010327868337762257j 1.019455363324774e-11+4.144598345660124e-12j -5.176677915057952e-13+2.9132470344634054e-13j
5.2578053041624665e-05+0.0001001025534632937j 6.671124178429476e-12+5.022026023927965e-12j -2.483333005985831e-13+2.732349879827182e-13j
-2.7215417354030282e-05+9.60020863841818e-05j 3.147694707838226e-12+5.899453703255193e-12j 2.10011903086285e-14+2.551452725190962e-13j
-9.324659943707404e-05+9.09772821402868e-05j -3.7573477852602067e-13+6.776881383641807e-12j 2.9033568121584006e-13+2.3705555705547425e-13j
-0.00011952330074134574+0.0001251439291402839j -1.330857949856065e-12-1.6281548204352713e-12j -4.012205308031725e-13+3.8362234328834625e-16j
-0.0001147485183973799+0.00013417991093432808j -3.149271186745123e-12+9.992704126448021e-13j -2.4798148640884534e-13+1.980939959132325e-13j
-0.00010214361979988291+0.00015331837813410283j -4.967684405685945e-12+3.626695668881845e-12j -9.474244201451853e-14+3.958043694831763e-13j
-0.00010019907507606615+0.00016056410541864246j -1.3730065123504387e-12+2.9101242378947236e-12j 8.57895221596446e-14+7.061737611509449e-13j
-0.00010208471965550177+0.0001558748470473561j -2.9460737693870233e-12+2.127532415912114e-12j -4.146549491101074e-15+5.115189797445306e-13j
-0.00010856586370979378+0.0001412392353462818j -4.519141026423611e-12+1.3449405939295096e-12j -9.408262114184693e-14+3.1686419833811693e-13j
-0.00014541089679389487+9.010779462186643e-05j -2.677264365412786e-12+1.929265690374941e-12j -1.31746322051602e-13+1.757985494651318e-14j
-0.00015204927648871747+2.160389428999038e-05j -4.409101057122862e-13+9.226472665437463e-13j 2.0669347826122006e-13+4.0302963990304595e-14j
-0.00014139427874461076-4.573891535185157e-05j 1.795444054888281e-12-8.397116394109389e-14j 5.451332785740421e-13+6.302607303409591e-14j
-6.489766115375437e-05-4.222353045094198e-05j -6.376844298503703e-13-5.815307237990831e-13j 1.273766281495516e-12+7.548920055283752e-13j
-1.423536205448264e-05-1.9519543097848805e-05j -2.5382558030268656e-13-3.735942742041758e-13j 7.303405925405565e-13+5.516466584316273e-13j
8.659298846305624e-06-7.2008639449637545e-06j 1.3003317454054892e-13-1.6565786002945473e-13j 1.869149035855969e-13+3.4840131133487967e-13j
-6.278526885342812e-14+8.359613958857036e-14j -9.841972431984232e-22+2.0706287219502743e-21j 9.966973142211457e-16-3.0164551554348956e-14j
-4.002202976680797e-13+8.65777707280604e-13j 1.4431415179348185e-21-1.7641828701597523e-21j 7.669853607974868e-14-1.2586706253168269e-14j
1.7643517142836648e-05-7.157565337911636e-06j -1.9388456291756199e-13+1.0378727187018055e-15j -4.361824880321775e-14+1.3186653224741547e-13j
-6.471423331524499e-06+1.3352128114907482e-05j -2.2019303419402585e-13+4.9000663109587276e-14j -1.029211218951799e-12+4.1530227715102256e-13j
-0.00018874982018043306-2.744868329113507e-05j -5.623380682270198e-13-2.545816477234958e-13j 5.243087639171038e-12+3.786439108054266e-12j
-0.00027177548722611425-0.00017356752232951218j -8.901824909619877e-13+7.056339295234692e-13j 1.2526043429796028e-13-1.3027585600340538e-12j
-0.00023572369800356008-0.0002437455820933513j 1.7527900554720755e-15+8.92584332931279e-13j 1.0060998261428187e-12-7.345273595275719e-13j
-0.00015466330901861192-0.0002848885068338403j 8.936880710729293e-13+1.0795347363390878e-12j 1.8869392179876753e-12-1.6629615902109192e-13j
6.242488026402843e-05-0.00026581310808400154j 4.375843637949476e-13-8.309417332366929e-13j 1.7939463832629426e-12-7.111990020942134e-13j
0.0001985668740443486-0.0002190609039495746j 3.8547699159447837e-14-3.8034138176417723e-13j 1.176397049078327e-12-4.808081212436319e-13j
0.00030315371143859295-0.0001605363281636343j -3.604889654760532e-13+7.025896970833926e-14j 5.5884771489371e-13-2.5041724039304953e-13j
0.0003666925796001772-6.651537519341884e-05j -3.8479394329915847e-13-1.3501242512702176e-13j 9.85890987331429e-13-9.758418238426088e-13j
0.0003487421827536756+3.383867942670007e-05j 4.1485359020152997e-13-2.8372815800960324e-13j 2.3899667606418072e-14+1.1294434107429794e-13j
0.0002793947677525629+8.020833976772459e-05j -3.254875735464695e-13-5.007399752699375e-13j -4.1942547869636014e-13-1.8279123379787721e-13j
0.00011627078472531627+0.00017471908780990937j -8.823653741903612e-13+1.099090310046305e-12j -3.023120381164757e-13+1.297800014800879e-12j
1.1196507852178404e-05+0.00014281713808691048j -5.797588039696879e-13+1.2110420694849831e-12j -4.507615482251375e-13-1.2761515864157004e-13j
-7.707078426108204e-05+0.0001251163097980363j -5.691241388886406e-13+4.871793471613829e-13j -1.8142699786575015e-13-1.4570487809826644e-13j
-0.00019337537934923515+8.596428321367917e-05j -2.2266676206472723e-13-1.9036259057365741e-13j -1.5565871065889309e-12-7.695081017924747e-13j
-0.00019669760662181486+9.761069776880608e-05j -5.454409846805623e-13-7.068544940102125e-13j -3.543267105318987e-13-1.1623902624842503e-13j
-0.00019298594614722362+9.078030637736981e-05j -3.8809866047401644e-13-8.437355100484962e-13j -2.0108763231198576e-13+8.147139096358965e-14j
-0.0001711253348242814+9.038395199406652e-05j -8.551005208538932e-13-6.683026549900173e-13j -2.223537138295164e-14+2.9798246668801546e-13j
-0.00016211076597092984+0.00010814871568067673j -7.169053223702564e-13-7.107368595734944e-13j 3.7433949033758406e-14+6.849902428503799e-13j
-0.00015692055731716877+9.21813196898107e-05j -3.5880500720390455e-13-5.666309862990682e-13j -5.250216232149476e-14+4.903353755087886e-13j
-0.00015632584813826393+6.626757036915674e-05j -7.046920375529476e-16-4.2252511302464226e-13j -1.4243827367674792e-13+2.956805081671975e-13j
-0.00015092592316155975+4.880573635340876e-05j -5.004666147720321e-13+2.450221731958032e-13j -2.973308100876701e-13+3.328280412439161e-13j
-0.00015423491198755942-1.2689318373059241e-05j -6.414676831825483e-13+5.886415714367409e-13j 4.110879100849108e-14+3.5555113691214685e-13j
-0.00014025052337462968-7.302328240949285e-05j -7.824686691012813e-13+9.32260975216238e-13j 3.795483921046514e-13+3.78274232580378e-13j
-0.00014769330035250153-6.67504865021531e-05j -4.199120896408051e-13+5.228652770199718e-13j 7.598111630995434e-12+2.908386961918441e-12j
-1.8864505299473956e-05-4.4138277227645865e-05j -7.487923334519941e-06-6.818825212424597e-06j 3.1813316313048404e-12+5.789612207189268e-13j
3.1985837940856634e-05-3.6397745775750885e-05j -4.978220133057068e-06-4.533382498643483e-06j 2.3080363144002255e-12+4.761294699457395e-13j
-2.4856880662009634e-12+5.908013097865362e-13j 1.9957139996356508e-20-1.4242030620186205e-20j -1.6538531595816439e-12+9.950284494337682e-13j
-2.8819593054240277e-13+8.641162846478722e-13j 1.4431415179348185e-21-1.7641828701597523e-21j -1.4117132901552047e-13-3.7269436245207324e-14j
1.1215396297637413e-05-8.361777872873196e-06j -3.68703779925095e-14+4.5072564583813946e-14j 3.9014725903767953e-14+4.97555796319268e-13j
7.424842659497456e-06+4.201620742906599e-05j 9.92076341872719e-13+9.990289891255556e-13j 5.9457653608527956e-12+4.6693193954085e-12j
-0.00019008987496586924-4.2331418335814806e-05j -3.760628731684603e-13+7.196452977822962e-14j 1.7251476868062209e-12-1.0910274148851569e-12j
-0.00023061412351914657-0.00020373681767439257j -2.3763310859783286e-13-1.4833121483873048e-13j 9.963703748651057e-13-6.3684914835784584e-15j
-0.0001785261651128192-0.0002701469998681653j 1.298240643709978e-13+1.1883931941367988e-12j 1.7703042107137261e-12-5.282767549663148e-13j
-4.6360375326530404e-05-0.00028018419816031097j 4.950696136087454e-13-2.3459039992640954e-13j 1.6053227734034874e-12-1.5761257525374715e-12j
0.00012943119663904497-0.00023019650405811082j 4.163466778519442e-13-6.283510408125841e-14j 1.4367250921346967e-12-1.0871264661399166e-12j
0.0002771952032691107-0.0001598459458440464j -6.755076195758609e-14-2.2463120851382634e-13j 1.2416685752667699e-12+2.2872137322790175e-13j
0.0003738726983569999-7.166200899741324e-05j -1.388673289578007e-13-1.9421387668766817e-13j 1.2935203846166408e-12-1.975930080151806e-13j
0.00038777809691101564+4.9792979476881215e-05j -9.621927249212356e-13-2.572114539468763e-13j 5.414201285680125e-13-6.435597783197865e-13j
0.00034075836124067846+0.0001421077484045892j -3.22079347782402e-13-1.5992720675473513e-13j -2.0403189999248265e-13+1.082535527145304e-13j
0.00025261899516517+0.00017611115808367653j -1.0624205115304009e-12-3.769390240150695e-13j -6.473570462952609e-13-1.8748202215764463e-13j
6.375881265291218e-05+0.00022513837739544673j -1.085271812362164e-12+7.074233078712113e-13j -1.8304679393017339e-13+7.495078362466554e-13j
